danceability,energy,audio_valence,acousticness,tempo,instrumentalness,speechiness,loudness
0.496,0.682,0.474,0.00552,167.06,2.94e-05,0.0294,-4.095
0.542,0.853,0.37,0.0103,105.256,0.0,0.0498,-6.407
0.737,0.4629999999999999,0.324,0.00817,123.881,0.447,0.0792,-7.827999999999999
0.451,0.97,0.198,0.0264,122.444,0.00355,0.107,-4.938
0.447,0.7659999999999999,0.574,0.0009539999999999,172.011,0.0,0.0313,-5.065
0.316,0.945,0.32,0.00895,189.931,1.85e-06,0.124,-3.169
0.581,0.887,0.7240000000000001,0.000504,90.578,0.0011099999999999,0.0624,-3.659
0.613,0.953,0.537,0.00148,105.046,0.000582,0.0855,-3.435
0.33,0.936,0.2339999999999999,0.00108,148.112,0.0,0.0917,-3.66
0.542,0.905,0.374,0.00172,153.398,0.0104,0.054,-5.653
0.629,0.897,0.93,0.0424,161.944,0.0,0.0483,-3.401
0.496,0.863,0.243,0.0046,110.018,0.0,0.0381,-4.1530000000000005
0.647,0.964,0.875,0.00434,126.942,0.0036,0.06,-4.225
0.618,0.938,0.875,0.0179,91.455,0.0,0.0456,-3.442
0.42,0.929,0.3,0.0003529999999999,127.204,0.0007469999999999,0.121,-3.899
0.278,0.6759999999999999,0.494,0.000423,104.545,0.000899,0.0371,-8.821
0.659,0.778,0.623,0.0013599999999999,110.022,6.79e-06,0.0379,-6.422999999999999
0.37,0.944,0.345,0.00701,130.315,2.9e-06,0.0767,-4.979
0.5670000000000001,0.795,0.635,0.0938,170.06,0.0,0.134,-4.985
0.545,0.865,0.5429999999999999,0.00664,99.01,1.12e-05,0.0286,-5.707999999999999
0.309,0.912,0.302,0.0014,183.035,0.000271,0.0646,-3.881
0.276,0.715,0.173,0.00552,137.028,0.000417,0.0432,-5.356
0.518,0.5379999999999999,0.687,0.0137,170.953,0.000398,0.0486,-5.818
0.58,0.981,0.861,0.0171,134.007,1.07e-05,0.06,-2.603
0.602,0.905,0.411,0.000202,128.019,0.064,0.0775,-4.046
0.657,0.291,0.298,0.872,103.973,0.0,0.0293,-10.572
0.44,0.932,0.495,0.0102,157.438,0.0,0.0584,-4.488
0.38,0.988,0.769,2.64e-05,186.113,7.859999999999999e-05,0.0639,-2.042
0.217,0.905,0.236,0.000289,96.95,0.00011,0.0752,-4.103
0.7140000000000001,0.725,0.59,0.0156,99.988,0.0,0.0402,-6.4110000000000005
0.5820000000000001,0.597,0.674,0.000194,167.738,0.000273,0.0512,-5.671
0.614,0.568,0.516,0.00797,107.849,0.0,0.0276,-5.477
0.509,0.774,0.0824,0.0018899999999999,116.529,0.000549,0.0338,-4.053999999999999
0.498,0.83,0.4529999999999999,0.00461,89.34200000000001,0.0,0.0421,-5.157
0.599,0.932,0.6920000000000001,0.00506,96.234,0.0,0.18,-3.3280000000000003
0.574,0.911,0.573,0.000618,98.075,0.0,0.0715,-5.176
0.433,0.959,0.365,0.000917,172.984,0.0,0.0431,-4.04
0.5489999999999999,0.93,0.526,0.00164,112.447,6.670000000000001e-05,0.0487,-3.468
0.6559999999999999,0.932,0.544,0.00347,130.936,0.00147,0.0708,-3.405
0.499,0.8240000000000001,0.6990000000000001,0.00898,161.977,0.0,0.0794,-4.7410000000000005
0.624,0.899,0.797,0.0223,104.055,0.000155,0.0295,-5.71
0.545,0.753,0.434,0.0417,105.754,0.0,0.036,-4.618
0.374,0.961,0.357,5.53e-05,167.032,0.0834,0.0851,-4.421
0.695,0.8759999999999999,0.941,0.000996,89.954,6.89e-06,0.0553,-4.262
0.246,0.768,0.35,0.0006309999999999,169.873,0.301,0.0387,-7.48
0.563,0.86,0.517,0.00834,97.867,0.0106,0.0621,-7.532999999999999
0.391,0.831,0.6829999999999999,0.000153,139.946,0.0019199999999999,0.0613,-3.892
0.309,0.875,0.725,0.000213,143.526,0.00168,0.0488,-4.49
0.535,0.948,0.778,0.00225,103.183,0.0,0.0356,-4.19
0.524,0.578,0.537,0.0132,123.669,0.00921,0.12,-4.563
0.4679999999999999,0.769,0.17,0.00014,104.102,0.00124,0.0409999999999999,-7.0360000000000005
0.5920000000000001,0.932,0.698,0.000295,93.675,7.59e-05,0.0885,-4.4910000000000005
0.213,0.93,0.386,4.78e-05,169.22099999999998,0.0,0.0671,-4.478
0.2189999999999999,0.952,0.172,5.1e-05,112.886,0.0989,0.176,-3.621
0.433,0.8540000000000001,0.368,0.000336,89.4,0.000177,0.0483,-3.868
0.509,0.843,0.332,0.000671,140.055,0.0008029999999999,0.0488,-3.318
0.546,0.959,0.416,0.00018,127.831,0.00144,0.0819999999999999,-4.664
0.408,0.965,0.349,6.94e-06,136.018,0.0004019999999999,0.05,-4.232
0.2689999999999999,0.853,0.179,0.000249,141.58100000000002,0.000246,0.0854,-4.647
0.365,0.894,0.31,3.32e-05,82.305,0.171,0.0572,-4.682
0.818,0.54,0.174,0.0143,97.064,0.000512,0.0544,-6.35
0.841,0.7979999999999999,0.591,0.153,95.948,3.33e-06,0.2289999999999999,-4.206
0.83,0.497,0.634,0.0983,127.965,0.0,0.052,-6.94
0.687,0.7659999999999999,0.303,0.0557,94.973,0.00107,0.054,-6.08
0.638,0.7170000000000001,0.249,0.346,100.027,0.0,0.0337,-4.722
0.746,0.703,0.667,0.352,166.043,0.0,0.107,-4.178999999999999
0.823,0.63,0.184,0.0348,100.04,6.72e-06,0.0797,-3.932
0.701,0.512,0.6629999999999999,0.235,91.947,5.07e-06,0.0969,-6.869
0.695,0.884,0.8540000000000001,0.1169999999999999,74.992,0.0,0.131,-6.279
0.722,0.584,0.6459999999999999,0.716,169.97799999999998,0.000321,0.318,-8.467
0.8,0.578,0.367,0.00381,143.01,0.0,0.0485,-5.144
0.8170000000000001,0.74,0.674,0.266,130.04,0.0,0.283,-4.566
0.3979999999999999,0.66,0.7190000000000001,0.107,83.82799999999999,0.0,0.12,-5.626
0.812,0.748,0.158,0.00397,132.035,0.0,0.139,-5.959
0.659,0.7340000000000001,0.346,0.0526,161.971,2.48e-06,0.046,-4.008
0.705,0.778,0.7090000000000001,0.2319999999999999,160.099,0.0,0.177,-4.101
0.723,0.687,0.777,0.0255,173.747,0.000207,0.2,-4.632
0.928,0.402,0.62,0.0257,139.998,0.0,0.451,-7.569
0.465,0.675,0.129,0.902,119.941,0.267,0.0485,-7.555
0.632,0.652,0.594,0.5710000000000001,115.031,0.85,0.0302,-10.558
0.471,0.179,0.1939999999999999,0.921,174.273,0.0,0.089,-10.273
0.871,0.545,0.415,0.0857,96.035,0.000499,0.0625,-6.466
0.8290000000000001,0.606,0.732,0.0646,118.051,0.391,0.149,-7.093
0.8370000000000001,0.649,0.948,0.149,164.002,7.63e-05,0.192,-5.26
0.8170000000000001,0.635,0.777,0.1369999999999999,103.029,7.85e-06,0.138,-5.718999999999999
0.635,0.902,0.286,0.172,102.063,0.0,0.109,-3.559
0.816,0.726,0.65,0.099,136.048,0.0,0.129,-3.998
0.815,0.626,0.5710000000000001,0.267,109.989,1.31e-05,0.103,-5.138999999999999
0.7509999999999999,0.579,0.349,0.3979999999999999,105.031,2.28e-05,0.0321,-4.0360000000000005
0.736,0.906,0.611,0.0749,93.013,0.000123,0.0566,-1.49
0.695,0.818,0.599,0.00245,102.976,3.36e-06,0.0482,-5.532
